title,year,duration,genre,rating,movie_url
In the Mood for Love ,2000,1h 38min,Drama,8.1,https://www.imdb.com/title/tt0118694/
The Gold Rush ,1925,1h 35min,Adventure,8.2,https://www.imdb.com/title/tt0015864/
The Treasure of the Sierra Madre ,1948,2h 6min,Adventure,8.2,https://www.imdb.com/title/tt0040897/
Rashomon ,1950,1h 28min,Crime,8.2,https://www.imdb.com/title/tt0042876/
Judgment at Nuremberg ,1961,2h 59min,Drama,8.2,https://www.imdb.com/title/tt0055031/
All About Eve ,1950,2h 18min,Drama,8.2,https://www.imdb.com/title/tt0042192/
Wild Strawberries ,1957,1h 31min,Drama,8.2,https://www.imdb.com/title/tt0050986/
Yojimbo ,1961,1h 50min,Action,8.2,https://www.imdb.com/title/tt0055630/
Portrait of a Lady on Fire ,2019,2h 2min,Drama,8.1,https://www.imdb.com/title/tt8613070/
Tokyo Story ,1953,2h 16min,Drama,8.2,https://www.imdb.com/title/tt0046438/
To Kill a Mockingbird ,1962,2h 9min,Crime,8.2,https://www.imdb.com/title/tt0056592/
The Great Escape ,1963,2h 52min,Adventure,8.2,https://www.imdb.com/title/tt0057115/
Raging Bull ,1980,2h 9min,Biography,8.2,https://www.imdb.com/title/tt0081398/
Stalker ,1979,2h 42min,Drama,8.2,https://www.imdb.com/title/tt0079944/
Rififi ,1955,1h 58min,Crime,8.2,https://www.imdb.com/title/tt0048021/
Casino ,1995,2h 58min,Crime,8.2,https://www.imdb.com/title/tt0112641/
Ran ,1985,2h 42min,Action,8.2,https://www.imdb.com/title/tt0089881/
Heat ,1995,2h 50min,Crime,8.2,https://www.imdb.com/title/tt0113277/
The Bandit ,1996,2h 8min,Crime,8.2,https://www.imdb.com/title/tt0116231/
L.A. Confidential ,1997,2h 18min,Crime,8.2,https://www.imdb.com/title/tt0119488/
Unforgiven ,1992,2h 10min,Drama,8.2,https://www.imdb.com/title/tt0105695/
Downfall ,2004,2h 36min,Biography,8.2,https://www.imdb.com/title/tt0363163/
Rang De Basanti ,2006,2h 47min,Comedy,8.2,https://www.imdb.com/title/tt0405508/
Good Will Hunting ,1997,2h 6min,Drama,8.3,https://www.imdb.com/title/tt0119217/
A Beautiful Mind ,2001,2h 15min,Biography,8.2,https://www.imdb.com/title/tt0268978/
V for Vendetta ,2005,2h 12min,Action,8.2,https://www.imdb.com/title/tt0434409/
American Beauty ,1999,2h 2min,Drama,8.3,https://www.imdb.com/title/tt0169547/
The Seventh Seal ,1957,1h 36min,Drama,8.2,https://www.imdb.com/title/tt0050976/
Eternal Sunshine of the Spotless Mind ,2004,1h 48min,Drama,8.3,https://www.imdb.com/title/tt0338013/
Requiem for a Dream ,2000,1h 42min,Drama,8.3,https://www.imdb.com/title/tt0180093/
Inglourious Basterds ,2009,2h 33min,Adventure,8.3,https://www.imdb.com/title/tt0361748/
The Hunt ,2012,1h 55min,Drama,8.3,https://www.imdb.com/title/tt2106476/
Incendies ,2010,2h 11min,Drama,8.3,https://www.imdb.com/title/tt1255953/
A Separation ,2011,2h 3min,Drama,8.3,https://www.imdb.com/title/tt1832382/
My Father and My Son ,2005,1h 52min,Drama,8.3,https://www.imdb.com/title/tt0476735/
The Great Dictator ,1940,2h 5min,Comedy,8.4,https://www.imdb.com/title/tt0032553/
1917 ,2019,1h 59min,Drama,8.3,https://www.imdb.com/title/tt8579674/
Paths of Glory ,1957,1h 28min,Drama,8.4,https://www.imdb.com/title/tt0050825/
Sunset Blvd. ,1950,1h 50min,Drama,8.4,https://www.imdb.com/title/tt0043014/
Witness for the Prosecution ,1957,1h 56min,Crime,8.4,https://www.imdb.com/title/tt0051201/
Apocalypse Now ,1979,2h 27min,Drama,8.4,https://www.imdb.com/title/tt0078788/
High and Low ,1963,2h 23min,Crime,8.4,https://www.imdb.com/title/tt0057565/
Anand ,1971,2h 2min,Drama,8.4,https://www.imdb.com/title/tt0066763/
Once Upon a Time in America ,1984,3h 49min,Crime,8.4,https://www.imdb.com/title/tt0087843/
The Shining ,1980,2h 26min,Drama,8.4,https://www.imdb.com/title/tt0081505/
